permutation,input_sample_id,brain_sample_id,kept_original_pair
24,VC-LAR-5,VC-LAR-1,False
25,FL-LAR-1,FL-LAR-13,False
25,FL-LAR-13,HC-LAR-5,False
25,FL-LAR-5,VC-LAR-5,False
25,HC-LAR-1,FL-LAR-1,False
25,HC-LAR-13,HC-LAR-1,False
25,HC-LAR-5,VC-LAR-1,False
25,VC-LAR-1,VC-LAR-13,False
25,VC-LAR-13,HC-LAR-13,False
25,VC-LAR-5,FL-LAR-5,False
26,FL-LAR-1,HC-LAR-1,False
26,FL-LAR-13,HC-LAR-13,False
26,FL-LAR-5,FL-LAR-13,False
26,HC-LAR-1,VC-LAR-5,False
26,HC-LAR-13,VC-LAR-1,False
26,HC-LAR-5,HC-LAR-5,True
26,VC-LAR-1,VC-LAR-13,False
26,VC-LAR-13,FL-LAR-5,False
26,VC-LAR-5,FL-LAR-1,False
27,FL-LAR-1,VC-LAR-5,False
27,FL-LAR-13,HC-LAR-5,False
27,FL-LAR-5,VC-LAR-13,False
27,HC-LAR-1,FL-LAR-5,False
27,HC-LAR-13,FL-LAR-13,False
27,HC-LAR-5,HC-LAR-13,False
27,VC-LAR-1,FL-LAR-1,False
27,VC-LAR-13,VC-LAR-1,False
27,VC-LAR-5,HC-LAR-1,False
28,FL-LAR-1,VC-LAR-5,False
28,FL-LAR-13,FL-LAR-13,True
28,FL-LAR-5,VC-LAR-1,False
28,HC-LAR-1,FL-LAR-5,False
28,HC-LAR-13,VC-LAR-13,False
28,HC-LAR-5,HC-LAR-1,False
28,VC-LAR-1,FL-LAR-1,False
28,VC-LAR-13,HC-LAR-5,False
28,VC-LAR-5,HC-LAR-13,False
29,FL-LAR-1,FL-LAR-1,True
29,FL-LAR-13,FL-LAR-5,False
29,FL-LAR-5,HC-LAR-5,False
29,HC-LAR-1,VC-LAR-13,False
29,HC-LAR-13,FL-LAR-13,False
29,HC-LAR-5,HC-LAR-1,False
29,VC-LAR-1,HC-LAR-13,False
29,VC-LAR-13,VC-LAR-5,False
29,VC-LAR-5,VC-LAR-1,False
30,FL-LAR-1,HC-LAR-1,False
30,FL-LAR-13,FL-LAR-13,True
30,FL-LAR-5,VC-LAR-5,False
30,HC-LAR-1,HC-LAR-5,False
30,HC-LAR-13,FL-LAR-1,False
30,HC-LAR-5,VC-LAR-13,False
30,VC-LAR-1,VC-LAR-1,True
30,VC-LAR-13,HC-LAR-13,False
30,VC-LAR-5,FL-LAR-5,False
31,FL-LAR-1,FL-LAR-1,True
31,FL-LAR-13,HC-LAR-1,False
31,FL-LAR-5,VC-LAR-13,False
31,HC-LAR-1,VC-LAR-5,False
31,HC-LAR-13,HC-LAR-5,False
31,HC-LAR-5,HC-LAR-13,False
31,VC-LAR-1,FL-LAR-13,False
31,VC-LAR-13,FL-LAR-5,False
31,VC-LAR-5,VC-LAR-1,False
32,FL-LAR-1,VC-LAR-1,False
32,FL-LAR-13,FL-LAR-1,False
32,FL-LAR-5,HC-LAR-5,False
32,HC-LAR-1,FL-LAR-5,False
32,HC-LAR-13,HC-LAR-1,False
32,HC-LAR-5,HC-LAR-13,False
32,VC-LAR-1,VC-LAR-5,False
32,VC-LAR-13,VC-LAR-13,True
32,VC-LAR-5,FL-LAR-13,False
33,FL-LAR-1,FL-LAR-5,False
33,FL-LAR-13,VC-LAR-1,False
33,FL-LAR-5,HC-LAR-13,False
33,HC-LAR-1,HC-LAR-1,True
33,HC-LAR-13,FL-LAR-1,False
33,HC-LAR-5,HC-LAR-5,True
33,VC-LAR-1,VC-LAR-13,False
33,VC-LAR-13,FL-LAR-13,False
33,VC-LAR-5,VC-LAR-5,True
34,FL-LAR-1,FL-LAR-13,False
34,FL-LAR-13,FL-LAR-1,False
34,FL-LAR-5,HC-LAR-1,False
34,HC-LAR-1,HC-LAR-5,False
34,HC-LAR-13,VC-LAR-5,False
34,HC-LAR-5,HC-LAR-13,False
34,VC-LAR-1,FL-LAR-5,False
34,VC-LAR-13,VC-LAR-1,False
34,VC-LAR-5,VC-LAR-13,False
35,FL-LAR-1,FL-LAR-5,False
35,FL-LAR-13,VC-LAR-5,False
35,FL-LAR-5,HC-LAR-13,False
35,HC-LAR-1,VC-LAR-1,False
35,HC-LAR-13,VC-LAR-13,False
35,HC-LAR-5,FL-LAR-1,False
35,VC-LAR-1,HC-LAR-5,False
35,VC-LAR-13,FL-LAR-13,False
35,VC-LAR-5,HC-LAR-1,False
36,FL-LAR-1,VC-LAR-1,False
36,FL-LAR-13,FL-LAR-1,False
36,FL-LAR-5,HC-LAR-13,False
36,HC-LAR-1,FL-LAR-5,False
36,HC-LAR-13,FL-LAR-13,False
36,HC-LAR-5,HC-LAR-1,False
36,VC-LAR-1,VC-LAR-13,False
36,VC-LAR-13,HC-LAR-5,False
36,VC-LAR-5,VC-LAR-5,True
37,FL-LAR-1,VC-LAR-5,False
37,FL-LAR-13,VC-LAR-13,False
37,FL-LAR-5,VC-LAR-1,False
37,HC-LAR-1,HC-LAR-5,False
37,HC-LAR-13,FL-LAR-1,False
37,HC-LAR-5,HC-LAR-13,False
37,VC-LAR-1,FL-LAR-13,False
37,VC-LAR-13,FL-LAR-5,False
37,VC-LAR-5,HC-LAR-1,False
38,FL-LAR-1,FL-LAR-1,True
38,FL-LAR-13,HC-LAR-1,False
38,FL-LAR-5,VC-LAR-5,False
38,HC-LAR-1,HC-LAR-5,False
38,HC-LAR-13,FL-LAR-5,False
38,HC-LAR-5,HC-LAR-13,False
38,VC-LAR-1,VC-LAR-13,False
38,VC-LAR-13,FL-LAR-13,False
38,VC-LAR-5,VC-LAR-1,False
39,FL-LAR-1,VC-LAR-1,False
39,FL-LAR-13,VC-LAR-5,False
39,FL-LAR-5,FL-LAR-1,False
39,HC-LAR-1,HC-LAR-5,False
39,HC-LAR-13,HC-LAR-1,False
39,HC-LAR-5,VC-LAR-13,False
39,VC-LAR-1,HC-LAR-13,False
39,VC-LAR-13,FL-LAR-13,False
39,VC-LAR-5,FL-LAR-5,False
40,FL-LAR-1,HC-LAR-13,False
40,FL-LAR-13,VC-LAR-5,False
40,FL-LAR-5,VC-LAR-13,False
40,HC-LAR-1,FL-LAR-13,False
40,HC-LAR-13,HC-LAR-1,False
40,HC-LAR-5,HC-LAR-5,True
40,VC-LAR-1,FL-LAR-5,False
40,VC-LAR-13,VC-LAR-1,False
40,VC-LAR-5,FL-LAR-1,False
41,FL-LAR-1,HC-LAR-5,False
41,FL-LAR-13,VC-LAR-1,False
41,FL-LAR-5,VC-LAR-5,False
41,HC-LAR-1,FL-LAR-5,False
41,HC-LAR-13,FL-LAR-1,False
41,HC-LAR-5,VC-LAR-13,False
41,VC-LAR-1,FL-LAR-13,False
41,VC-LAR-13,HC-LAR-1,False
41,VC-LAR-5,HC-LAR-13,False
42,FL-LAR-1,HC-LAR-1,False
42,FL-LAR-13,FL-LAR-1,False
42,FL-LAR-5,HC-LAR-5,False
42,HC-LAR-1,VC-LAR-13,False
42,HC-LAR-13,VC-LAR-1,False
42,HC-LAR-5,FL-LAR-13,False
42,VC-LAR-1,HC-LAR-13,False
42,VC-LAR-13,VC-LAR-5,False
42,VC-LAR-5,FL-LAR-5,False
43,FL-LAR-1,VC-LAR-13,False
43,FL-LAR-13,FL-LAR-1,False
43,FL-LAR-5,VC-LAR-5,False
43,HC-LAR-1,HC-LAR-1,True
43,HC-LAR-13,HC-LAR-13,True
43,HC-LAR-5,VC-LAR-1,False
43,VC-LAR-1,FL-LAR-5,False
43,VC-LAR-13,HC-LAR-5,False
43,VC-LAR-5,FL-LAR-13,False
44,FL-LAR-1,HC-LAR-5,False
44,FL-LAR-13,FL-LAR-1,False
44,FL-LAR-5,HC-LAR-1,False
44,HC-LAR-1,FL-LAR-5,False
44,HC-LAR-13,VC-LAR-1,False
44,HC-LAR-5,HC-LAR-13,False
44,VC-LAR-1,FL-LAR-13,False
44,VC-LAR-13,VC-LAR-13,True
44,VC-LAR-5,VC-LAR-5,True
45,FL-LAR-1,VC-LAR-13,False
45,FL-LAR-13,HC-LAR-5,False
45,FL-LAR-5,FL-LAR-1,False
45,HC-LAR-1,HC-LAR-1,True
45,HC-LAR-13,VC-LAR-5,False
45,HC-LAR-5,VC-LAR-1,False
45,VC-LAR-1,FL-LAR-13,False
45,VC-LAR-13,FL-LAR-5,False
45,VC-LAR-5,HC-LAR-13,False
46,FL-LAR-1,FL-LAR-5,False
46,FL-LAR-13,FL-LAR-13,True
46,FL-LAR-5,HC-LAR-5,False
46,HC-LAR-1,VC-LAR-5,False
46,HC-LAR-13,HC-LAR-13,True
46,HC-LAR-5,VC-LAR-13,False
46,VC-LAR-1,FL-LAR-1,False
46,VC-LAR-13,VC-LAR-1,False
46,VC-LAR-5,HC-LAR-1,False
47,FL-LAR-1,VC-LAR-1,False
47,FL-LAR-13,VC-LAR-5,False
47,FL-LAR-5,HC-LAR-1,False
47,HC-LAR-1,HC-LAR-5,False
47,HC-LAR-13,FL-LAR-1,False
47,HC-LAR-5,VC-LAR-13,False
47,VC-LAR-1,FL-LAR-5,False
47,VC-LAR-13,HC-LAR-13,False
47,VC-LAR-5,FL-LAR-13,False
48,FL-LAR-1,HC-LAR-1,False
48,FL-LAR-13,VC-LAR-5,False
48,FL-LAR-5,HC-LAR-13,False
48,HC-LAR-1,FL-LAR-13,False
48,HC-LAR-13,VC-LAR-13,False
48,HC-LAR-5,FL-LAR-5,False
48,VC-LAR-1,FL-LAR-1,False
48,VC-LAR-13,HC-LAR-5,False
48,VC-LAR-5,VC-LAR-1,False
49,FL-LAR-1,FL-LAR-5,False
49,FL-LAR-13,FL-LAR-13,True
49,FL-LAR-5,HC-LAR-5,False
49,HC-LAR-1,FL-LAR-1,False
49,HC-LAR-13,VC-LAR-5,False
49,HC-LAR-5,VC-LAR-13,False
49,VC-LAR-1,VC-LAR-1,True
49,VC-LAR-13,HC-LAR-13,False
49,VC-LAR-5,HC-LAR-1,False
50,FL-LAR-1,HC-LAR-1,False
50,FL-LAR-13,VC-LAR-1,False
50,FL-LAR-5,FL-LAR-1,False
50,HC-LAR-1,HC-LAR-13,False
50,HC-LAR-13,FL-LAR-13,False
50,HC-LAR-5,HC-LAR-5,True
50,VC-LAR-1,VC-LAR-13,False
50,VC-LAR-13,VC-LAR-5,False
50,VC-LAR-5,FL-LAR-5,False
51,FL-LAR-1,HC-LAR-1,False
51,FL-LAR-13,FL-LAR-1,False
51,FL-LAR-5,FL-LAR-13,False
51,HC-LAR-1,FL-LAR-5,False
51,HC-LAR-13,VC-LAR-13,False
51,HC-LAR-5,HC-LAR-13,False
51,VC-LAR-1,HC-LAR-5,False
51,VC-LAR-13,VC-LAR-5,False
51,VC-LAR-5,VC-LAR-1,False
52,FL-LAR-1,FL-LAR-1,True
52,FL-LAR-13,VC-LAR-1,False
52,FL-LAR-5,VC-LAR-5,False
52,HC-LAR-1,HC-LAR-1,True
52,HC-LAR-13,VC-LAR-13,False
52,HC-LAR-5,FL-LAR-5,False
52,VC-LAR-1,HC-LAR-13,False
52,VC-LAR-13,FL-LAR-13,False
52,VC-LAR-5,HC-LAR-5,False
53,FL-LAR-1,FL-LAR-5,False
53,FL-LAR-13,HC-LAR-1,False
53,FL-LAR-5,FL-LAR-1,False
53,HC-LAR-1,HC-LAR-13,False
53,HC-LAR-13,HC-LAR-5,False
53,HC-LAR-5,VC-LAR-5,False
53,VC-LAR-1,VC-LAR-1,True
53,VC-LAR-13,VC-LAR-13,True
53,VC-LAR-5,FL-LAR-13,False
54,FL-LAR-1,FL-LAR-5,False
54,FL-LAR-13,VC-LAR-1,False
54,FL-LAR-5,HC-LAR-5,False
54,HC-LAR-1,HC-LAR-13,False
54,HC-LAR-13,FL-LAR-1,False
54,HC-LAR-5,VC-LAR-5,False
54,VC-LAR-1,VC-LAR-13,False
54,VC-LAR-13,FL-LAR-13,False
54,VC-LAR-5,HC-LAR-1,False
55,FL-LAR-1,FL-LAR-1,True
55,FL-LAR-13,VC-LAR-5,False
55,FL-LAR-5,VC-LAR-13,False
55,HC-LAR-1,HC-LAR-5,False
55,HC-LAR-13,HC-LAR-13,True
55,HC-LAR-5,VC-LAR-1,False
55,VC-LAR-1,FL-LAR-13,False
55,VC-LAR-13,HC-LAR-1,False
55,VC-LAR-5,FL-LAR-5,False
56,FL-LAR-1,HC-LAR-13,False
56,FL-LAR-13,FL-LAR-5,False
56,FL-LAR-5,VC-LAR-13,False
56,HC-LAR-1,VC-LAR-5,False
56,HC-LAR-13,VC-LAR-1,False
56,HC-LAR-5,FL-LAR-1,False
56,VC-LAR-1,FL-LAR-13,False
56,VC-LAR-13,HC-LAR-1,False
56,VC-LAR-5,HC-LAR-5,False
57,FL-LAR-1,HC-LAR-13,False
57,FL-LAR-13,FL-LAR-1,False
57,FL-LAR-5,HC-LAR-5,False
57,HC-LAR-1,FL-LAR-13,False
57,HC-LAR-13,HC-LAR-1,False
57,HC-LAR-5,VC-LAR-13,False
57,VC-LAR-1,VC-LAR-5,False
57,VC-LAR-13,FL-LAR-5,False
57,VC-LAR-5,VC-LAR-1,False
58,FL-LAR-1,FL-LAR-13,False
58,FL-LAR-13,FL-LAR-5,False
58,FL-LAR-5,VC-LAR-5,False
58,HC-LAR-1,FL-LAR-1,False
58,HC-LAR-13,HC-LAR-1,False
58,HC-LAR-5,VC-LAR-1,False
58,VC-LAR-1,HC-LAR-13,False
58,VC-LAR-13,VC-LAR-13,True
58,VC-LAR-5,HC-LAR-5,False
59,FL-LAR-1,HC-LAR-5,False
59,FL-LAR-13,VC-LAR-1,False
59,FL-LAR-5,HC-LAR-13,False
59,HC-LAR-1,VC-LAR-5,False
59,HC-LAR-13,FL-LAR-5,False
59,HC-LAR-5,FL-LAR-1,False
59,VC-LAR-1,FL-LAR-13,False
59,VC-LAR-13,VC-LAR-13,True
59,VC-LAR-5,HC-LAR-1,False
60,FL-LAR-1,VC-LAR-1,False
60,FL-LAR-13,HC-LAR-13,False
60,FL-LAR-5,VC-LAR-13,False
60,HC-LAR-1,FL-LAR-13,False
60,HC-LAR-13,VC-LAR-5,False
60,HC-LAR-5,FL-LAR-1,False
60,VC-LAR-1,HC-LAR-1,False
60,VC-LAR-13,HC-LAR-5,False
60,VC-LAR-5,FL-LAR-5,False
61,FL-LAR-1,FL-LAR-5,False
61,FL-LAR-13,VC-LAR-5,False
61,FL-LAR-5,VC-LAR-1,False
61,HC-LAR-1,HC-LAR-1,True
61,HC-LAR-13,FL-LAR-1,False
61,HC-LAR-5,FL-LAR-13,False
61,VC-LAR-1,HC-LAR-5,False
61,VC-LAR-13,HC-LAR-13,False
61,VC-LAR-5,VC-LAR-13,False
62,FL-LAR-1,VC-LAR-13,False
62,FL-LAR-13,FL-LAR-1,False
62,FL-LAR-5,FL-LAR-5,True
62,HC-LAR-1,HC-LAR-13,False
62,HC-LAR-13,HC-LAR-1,False
62,HC-LAR-5,VC-LAR-1,False
62,VC-LAR-1,VC-LAR-5,False
62,VC-LAR-13,FL-LAR-13,False
62,VC-LAR-5,HC-LAR-5,False
63,FL-LAR-1,HC-LAR-1,False
63,FL-LAR-13,HC-LAR-5,False
63,FL-LAR-5,VC-LAR-1,False
63,HC-LAR-1,FL-LAR-1,False
63,HC-LAR-13,FL-LAR-5,False
63,HC-LAR-5,VC-LAR-5,False
63,VC-LAR-1,VC-LAR-13,False
63,VC-LAR-13,HC-LAR-13,False
63,VC-LAR-5,FL-LAR-13,False
64,FL-LAR-1,VC-LAR-1,False
64,FL-LAR-13,HC-LAR-1,False
64,FL-LAR-5,FL-LAR-1,False
64,HC-LAR-1,VC-LAR-5,False
64,HC-LAR-13,HC-LAR-5,False
64,HC-LAR-5,FL-LAR-13,False
64,VC-LAR-1,HC-LAR-13,False
64,VC-LAR-13,FL-LAR-5,False
64,VC-LAR-5,VC-LAR-13,False
65,FL-LAR-1,VC-LAR-5,False
65,FL-LAR-13,HC-LAR-5,False
65,FL-LAR-5,HC-LAR-1,False
65,HC-LAR-1,HC-LAR-13,False
65,HC-LAR-13,FL-LAR-5,False
65,HC-LAR-5,FL-LAR-13,False
65,VC-LAR-1,VC-LAR-13,False
65,VC-LAR-13,FL-LAR-1,False
65,VC-LAR-5,VC-LAR-1,False
66,FL-LAR-1,VC-LAR-1,False
66,FL-LAR-13,VC-LAR-5,False
66,FL-LAR-5,FL-LAR-1,False
66,HC-LAR-1,HC-LAR-5,False
66,HC-LAR-13,HC-LAR-13,True
66,HC-LAR-5,VC-LAR-13,False
66,VC-LAR-1,FL-LAR-13,False
66,VC-LAR-13,FL-LAR-5,False
66,VC-LAR-5,HC-LAR-1,False
67,FL-LAR-1,FL-LAR-5,False
67,FL-LAR-13,HC-LAR-5,False
67,FL-LAR-5,FL-LAR-13,False
67,HC-LAR-1,HC-LAR-1,True
67,HC-LAR-13,HC-LAR-13,True
67,HC-LAR-5,VC-LAR-13,False
67,VC-LAR-1,VC-LAR-5,False
67,VC-LAR-13,FL-LAR-1,False
67,VC-LAR-5,VC-LAR-1,False
68,FL-LAR-1,VC-LAR-1,False
68,FL-LAR-13,VC-LAR-13,False
68,FL-LAR-5,HC-LAR-5,False
68,HC-LAR-1,FL-LAR-13,False
68,HC-LAR-13,FL-LAR-5,False
68,HC-LAR-5,HC-LAR-13,False
68,VC-LAR-1,HC-LAR-1,False
68,VC-LAR-13,FL-LAR-1,False
68,VC-LAR-5,VC-LAR-5,True
69,FL-LAR-1,FL-LAR-5,False
69,FL-LAR-13,FL-LAR-13,True
69,FL-LAR-5,VC-LAR-1,False
69,HC-LAR-1,VC-LAR-5,False
69,HC-LAR-13,HC-LAR-13,True
69,HC-LAR-5,HC-LAR-1,False
69,VC-LAR-1,FL-LAR-1,False
69,VC-LAR-13,HC-LAR-5,False
69,VC-LAR-5,VC-LAR-13,False
70,FL-LAR-1,FL-LAR-1,True
70,FL-LAR-13,FL-LAR-13,True
70,FL-LAR-5,FL-LAR-5,True
70,HC-LAR-1,VC-LAR-5,False
70,HC-LAR-13,VC-LAR-1,False
70,HC-LAR-5,VC-LAR-13,False
70,VC-LAR-1,HC-LAR-1,False
70,VC-LAR-13,HC-LAR-13,False
70,VC-LAR-5,HC-LAR-5,False
71,FL-LAR-1,HC-LAR-13,False
71,FL-LAR-13,VC-LAR-1,False
71,FL-LAR-5,VC-LAR-13,False
